#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
115,17,1650477545.760,1650477545.867,0.107,192.168.1.6,55980,216.58.212.196,443,188.126,QUIC.Google,www.google.com,5,1682,1472,4,2158,1990,-0.124,Mixed,87.5,92.2,12,26.0,46,12.5,0,26.2,59,26.6,12,11.0,21,8.6,75,336.4,1292,478.2,68,539.5,1292,492.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TLSv1.3,f314919ed9a4d0bb8bc4ef20ece4dc21,OK,,0,h3,,,,h3,11;22;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0,

77,17,1650477489.223,1650477489.248,0.025,192.168.1.6,61944,192.168.1.1,53,5.219,DNS.Microsoft365,outlook.ha.office365.com,1,84,42,1,212,170,-0.432,Download,49.4,79.8,24,24.0,24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,84,84.0,84,0.0,212,212.0,212,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,40.100.174.226,0;50;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

36,6,1650477334.263,1650477334.443,0.180,192.168.1.6,60678,20.44.10.123,443,91.276,TLS.Azure,,3,193,31,2,120,0,0.233,Upload,16.0,0.0,1,90.0,179,89.0,1,90.0,179,89.0,0,0.0,0,0.0,54,64.3,85,14.6,60,60.0,60,0.0,0,0,0,5,1,0,0,2,0,0,0,3,1,0,0,1,0,0,0,2,0,0,0,1,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

108,17,1650477521.820,1650477524.822,3.002,192.168.1.6,56271,239.255.255.250,1900,12,SSDP,,4,872,704,0,0,0,1.000,Upload,80.6,0.0,1000,1000.3,1001,0.5,1000,1000.3,1001,0.5,0,0.0,0,0.0,218,218.0,218,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,,0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Google Chrome/100.0.4896.127 Mac OS X

124,17,1650477554.417,1650477554.425,0.008,192.168.1.6,49663,192.168.1.1,53,5,DNS,public-treatment.prod-experimentation.grammarlyaws.com,1,114,72,1,242,200,-0.360,Download,62.6,82.3,8,8.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,114,114.0,114,0.0,242,242.0,242,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,54.157.70.149,0;0;50;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

